"year","pixel_id","X","Y"
4,5,450,1450
5,6,550,1450
15,33,250,1350
2,35,450,1350
1,36,550,1350
4,62,150,1250
13,63,250,1250
8,64,350,1250
2,65,450,1250
11,66,550,1250
7,70,950,1250
5,71,1050,1250
1,91,50,1150
15,92,150,1150
11,93,250,1150
2,94,350,1150
4,95,450,1150
9,96,550,1150
2,99,850,1150
5,101,1050,1150
11,121,50,1050
2,122,150,1050
8,123,250,1050
14,125,450,1050
9,127,650,1050
3,128,750,1050
1,129,850,1050
2,130,950,1050
1,151,50,950
1,154,350,950
10,155,450,950
7,156,550,950
7,157,650,950
3,158,750,950
10,182,150,850
1,183,250,850
5,184,350,850
7,185,450,850
5,186,550,850
13,187,650,850
7,188,750,850
7,189,850,850
5,216,550,750
2,217,650,750
4,231,2050,750
3,232,2150,750
11,246,550,650
7,247,650,650
2,261,2050,650
7,263,2250,650
9,264,2350,650
4,287,1650,550
3,288,1750,550
5,289,1850,550
11,290,1950,550
7,291,2050,550
8,292,2150,550
4,293,2250,550
10,294,2350,550
11,316,1550,450
7,317,1650,450
6,318,1750,450
6,319,1850,450
7,321,2050,450
1,322,2150,450
8,323,2250,450
1,324,2350,450
15,346,1550,350
8,347,1650,350
10,348,1750,350
1,349,1850,350
4,350,1950,350
1,353,2250,350
8,354,2350,350
7,377,1650,250
14,378,1750,250
8,380,1950,250
1,381,2050,250
1,382,2150,250
10,383,2250,250
3,384,2350,250
9,410,1950,150
12,411,2050,150
10,412,2150,150
